tt,lat,lon,alt,roll,pitch,yaw,ins_tt,ins_lat,ins_lon,ins_alt,ins_roll,ins_pitch,ins_yaw,mag_1_c
0.0,39.16066735024198,-95.52070095711161,306.0,-0.7926629014085463,0.37796082619633536,-73.34517531681821,0.0,39.16068871483965,-95.52071973387756,306.00055906135714,-0.7908333508745582,0.3838837175623785,-73.33409133551054,-181.85107813293186
1.0,39.16155058066754,-95.51753195903568,306.0,-1.008466974561395,0.2981202586248689,-73.48478420777089,1.0,39.16157176603442,-95.51755079201071,305.99348837920456,-1.0066653911647998,0.3040839217573184,-73.47371390143638,-170.411941764541
2.0,39.16243563763879,-95.51436251531065,306.0,-1.0732064048299839,0.533088869669397,-73.19297751694538,2.0,39.16245664207203,-95.51438139249241,305.97417269391036,-1.071369835190078,0.5390493649870266,-73.18189651896012,-159.6819610939253
3.0,39.16332252562946,-95.51119263620957,306.0,-1.1269907458852777,0.23412892658856227,-73.16629502205215,3.0,39.163343345990974,-95.51121154568325,305.943896638678,-1.1251469406686039,0.2400807014191915,-73.15525774304137,-148.15930659564572
4.0,39.1642112493376,-95.50802233168208,306.0,-1.3845105196487852,0.3709357219935066,-73.29256006810034,4.0,39.164231887096726,-95.50804126072651,305.9023354927047,-1.382665132284071,0.3769150159111785,-73.28149386440774,-139.69849673449392
5.0,39.16510181363987,-95.50485161127966,306.0,-1.1824006143148056,0.5170055550750011,-73.48522097568376,5.0,39.16512226608085,-95.5048705485936,305.8500038622518,-1.180578019249694,0.5229321699974452,-73.47411323583536,-132.92668065953893
6.0,39.165994223572,-95.50168048409667,306.0,-1.261852521884326,0.5900650344395166,-73.35602954695071,6.0,39.16601449192746,-95.50169941408689,305.7879625337666,-1.2599977166051783,0.5960150343252513,-73.34492420642395,-125.55281899713765
7.0,39.166888484370006,-95.49850895873027,306.0,-1.04658283512053,0.7163806980062476,-73.65305399941037,7.0,39.16690856657765,-95.4985278656886,305.7160222719393,-1.0446719746657402,0.722277248073359,-73.64192578148209,-119.4513251879957
8.0,39.16778460150339,-95.4953370432515,306.0,-0.9510311790611832,0.6463836765768153,-73.55958334372637,8.0,39.16780449497187,-95.49535591703395,305.63523403746655,-0.9490721839925342,0.6522348840780378,-73.54844176657438,-115.0049410010417
9.0,39.168682580656935,-95.49216474516818,306.0,-1.1612306968124264,0.532896955973333,-73.60130982426138,9.0,39.168702285493474,-95.49218357524806,305.5451482007402,-1.1593065074628766,0.5387578799869446,-73.59013481719897,-110.14994328928185
